,Unnamed: 0,fideid,name,country,sex,title,rating,birthday,image,race,api,black,hispanic,white
1828,1828,4646215,Igor Berezovsky,MNC,M,IM,2388,1971.0,True,white,0.0018259645,0.00030455535,0.027662383,0.97020704
1829,1829,2300982,Bjorn Thorfinnsson,ISL,M,IM,2388,1979.0,True,white,0.0036075884,0.007055469,0.008404521,0.98093235
1830,1830,700479,Sandor Videki,HUN,M,IM,2388,1966.0,True,api,0.5077505,0.015548237,0.016439635,0.4602617
1831,1831,2917173,Tsvetan Stoyanov,BUL,M,FM,2388,2004.0,True,white,0.004979408,0.01614163,0.013506749,0.96537226
1832,1832,13600818,Mikheil Kekelidze,GEO,M,GM,2388,1974.0,True,white,0.0015615248,0.00075931766,0.01586814,0.981811
1833,1833,1004239,Maurice Peek,NED,M,IM,2388,1976.0,True,white,0.0021507356,0.02781973,0.01797665,0.95205283
1834,1834,600130,Didier Sellos,FRA,M,IM,2388,1957.0,True,white,0.023011228,0.003579075,0.14089973,0.83250993
1835,1835,1019260,Ilias Van der Lende,NED,M,IM,2388,1994.0,True,api,0.55186874,0.03595764,0.14006971,0.272104
1836,1836,2014297,Philip Wang,USA,M,IM,2388,1983.0,True,white,0.09126505,0.06849806,0.022550188,0.81768674
1837,1837,760056,Alex Krstulovic,HUN,M,IM,2387,2003.0,True,white,0.0089740865,0.0015852557,0.021076791,0.9683639
1838,1838,4188080,Andrew Ivanov,RUS,M,IM,2387,1988.0,True,white,0.0033589103,0.015180886,0.019963324,0.96149683
1839,1839,607100,Hugo Tirard,FRA,M,IM,2387,1977.0,True,white,0.0054767723,0.22933364,0.026513444,0.7386761
1840,1840,4104501,Vladimir A Gusev,RUS,M,FM,2387,1948.0,True,white,0.011065477,0.012524791,0.014676404,0.9617333
1841,1841,3200035,Darryl K Johansen,AUS,M,GM,2387,1959.0,True,white,0.002744018,0.0024937354,0.012987841,0.98177433
1842,1842,2016257,Stanislav G Kriventsov,CAN,M,IM,2387,1973.0,True,white,0.11273967,0.029084686,0.031994123,0.8261815
1843,1843,1024523,Stefan Beukema,BEL,M,IM,2387,1996.0,True,white,0.004937217,0.002895545,0.006503356,0.9856639
1844,1844,2806584,Ido Porat,ISR,M,IM,2387,1987.0,True,white,0.08868632,0.034743685,0.24400187,0.6325682
1845,1845,904180,Alisa Maric,SRB,F,IM,2387,1970.0,True,white,0.05641565,0.07332406,0.087918185,0.7823421
1846,1846,12802859,Deimante Daulyte-Cornette,LTU,F,IM,2387,1989.0,True,white,0.003586023,0.13192892,0.01444568,0.8500394
1847,1847,8611513,Chenxi Zhao,CHN,M,,2387,2002.0,True,api,0.9978592,4.1903775e-05,0.00082154793,0.0012774331
1848,1848,4125207,Semen Virovlansky,RUS,M,IM,2387,1979.0,True,white,0.0017492623,8.1670696e-05,0.005212983,0.99295604
1849,1849,1204890,Nicolae-Petre Grigore,ROU,M,IM,2387,1978.0,True,white,0.002435663,0.018547276,0.022970447,0.9560466
1850,1850,14607077,Gal Drnovsek,SLO,M,IM,2387,1995.0,True,white,0.00033603862,0.0004975322,0.016686639,0.9824798
1851,1851,4200063,Nikolaos Gavrilakis,GRE,M,IM,2387,1955.0,True,white,0.002176373,0.0031583826,0.00756096,0.9871043
1852,1852,3600025,Augusto Moran Nuque,ECU,M,IM,2386,1968.0,True,white,0.047456734,0.08194355,0.13277708,0.73782265
1853,1853,103250,Facundo Pierrot,ARG,M,IM,2386,1975.0,True,white,0.0127721345,0.014829768,0.027292522,0.9451056
1854,1854,7100949,Anjas Novita,INA,M,IM,2386,1979.0,True,white,0.082514584,0.0048339735,0.38879034,0.5238611
1855,1855,1114115,Krzysztof Chojnacki,POL,M,IM,2386,1983.0,True,white,0.014390227,0.0013491353,0.014222257,0.9700384
1856,1856,4191668,Gennady Kozlov,RUS,M,FM,2386,1990.0,True,white,0.0017602221,0.005872255,0.013827642,0.9785398
1857,1857,4602145,Andreas Mandel,GER,M,IM,2386,1962.0,True,white,0.036926378,0.053559072,0.1644669,0.7450477
1858,1858,7200404,Hogni Egilstoft Nielsen,FAI,M,FM,2386,1997.0,True,white,0.0058450988,0.0014352459,0.016775709,0.9759439
1859,1859,4103203,Alexander Raetsky,RUS,M,GM,2386,1961.0,True,white,0.0010987106,0.00047579227,0.00442441,0.9940011
1860,1860,12100293,Husein Aziz Nezad,QAT,M,IM,2386,1985.0,True,white,0.2571743,0.0025027583,0.27216113,0.46816182
1861,1861,610038,Christophe Philippe,FRA,M,IM,2386,1974.0,True,white,0.0017642298,0.021627318,0.0056644697,0.9709439
1862,1862,724335,Csaba Zoltan Varga,HUN,M,FM,2386,1991.0,True,white,0.029707955,0.011220631,0.017396543,0.9416748
1863,1863,13000110,Tun Nay Oo Kyaw,MYA,M,IM,2385,1975.0,True,white,0.03164475,0.0739003,0.011245164,0.88320976
1864,1864,1002708,Harmen Jonkman,NED,M,GM,2385,1975.0,True,white,0.00425765,0.051263615,0.015524945,0.9289538
1865,1865,1013440,Jasper Broekmeulen,NED,M,IM,2385,1987.0,True,white,0.005127506,0.0029528448,0.016003473,0.9759162
1866,1866,1026399,Mark Timmermans,NED,M,IM,2385,1990.0,True,white,0.0034801716,0.059328433,0.017052406,0.92013896
1867,1867,14202174,Talgat Gubaydulin,UZB,M,IM,2385,1992.0,True,white,0.0056292578,0.02796818,0.024808694,0.9415939
1868,1868,1201131,Dan Vasiesiu,ROU,M,IM,2385,1967.0,True,white,0.062897734,0.013119925,0.033185624,0.8907967
1869,1869,1004395,Rudy Van Wessel,NED,M,IM,2385,1973.0,True,white,0.004067758,0.004553642,0.013260767,0.9781179
1870,1870,4171179,Boris Onoprijchuk,RUS,M,IM,2385,1987.0,True,white,0.0013897655,0.0025106291,0.020650052,0.9754496
1871,1871,3506770,Luis Daniel Rodriguez Hernandez,CUB,M,FM,2385,1996.0,True,hispanic,0.007553875,0.0010652686,0.95395184,0.037428986
1872,1872,2006960,Yury Lapshun,USA,M,IM,2385,1972.0,True,white,0.002065631,0.066762395,0.020109467,0.9110625
1873,1873,34134015,Yaroslav Remizov,RUS,M,IM,2385,2003.0,True,white,0.27650723,0.024876475,0.05247458,0.6461417
1874,1874,4200047,Georgios Makropoulos,GRE,M,IM,2385,1953.0,True,white,0.011793177,0.0033071155,0.0056129512,0.9792868
1875,1875,1203398,Vladimir Danilov,ROU,M,IM,2385,1974.0,True,white,0.01204129,0.006289381,0.020087074,0.96158224
1876,1876,14114062,Volodymyr Sakun,UKR,M,FM,2385,1986.0,True,white,0.034473427,0.0063100103,0.007847107,0.95136946
1877,1877,1004182,Xander Wemmers,NED,M,IM,2384,1974.0,True,white,0.0043772524,0.020433573,0.015480378,0.95970875
1878,1878,4503023,Kirill Chukavin,EST,M,FM,2384,2002.0,True,white,0.31567463,0.021921676,0.021507403,0.64089626
1879,1879,760293,Gergo Havasi,HUN,M,IM,2384,2001.0,True,white,0.0011325201,0.0036414664,0.009491368,0.9857347
1880,1880,4103963,Eduard Kanter,RUS,M,IM,2384,1969.0,True,white,0.009510652,0.008919302,0.012932715,0.9686374
1881,1881,2053900,Annie Wang,USA,F,IM,2384,2002.0,True,white,0.18647942,0.05866315,0.019428872,0.7354286
1882,1882,103560,Cristian Dolezal,ARG,M,IM,2384,1973.0,True,hispanic,0.105861396,0.023307873,0.523027,0.34780377
1883,1883,1512110,Sebastian Mihajlov,NOR,M,IM,2384,1999.0,True,api,0.718984,0.013688436,0.013368139,0.25395942
1884,1884,1617001,Christoph Menezes,AUT,M,IM,2384,1996.0,True,white,0.030624587,0.06757233,0.111454286,0.79034877
1885,1885,632708,Alain Genzling,FRA,M,IM,2384,1989.0,True,white,0.012627934,0.0061280555,0.011382534,0.96986145
1886,1886,1010972,Ali Bitalzadeh,NED,M,IM,2384,1989.0,True,white,0.00594451,0.0035805288,0.023719141,0.9667558
1887,1887,1120042,Michal Luch,POL,M,IM,2384,1988.0,True,white,0.0012246788,0.055245604,0.020053515,0.92347616
1888,1888,3524337,Jerzy Jesus Perez Leiva,CUB,M,FM,2384,2003.0,True,hispanic,0.018182801,0.011130891,0.5526173,0.41806903
1889,1889,701084,Tibor Bodi,HUN,M,FM,2384,1996.0,True,white,0.0055440767,0.0062792464,0.019646361,0.96853036
1890,1890,3506231,Orlen Ruiz Sanchez,CUB,M,IM,2383,1984.0,True,hispanic,0.010776224,0.00551416,0.9187423,0.06496723
1891,1891,909254,Dejan Mozetic,SRB,M,IM,2383,1965.0,True,white,0.0017712159,0.0077512045,0.011739205,0.97873837
1892,1892,1004670,Merijn Van Delft,NED,M,IM,2383,1979.0,True,white,0.014424767,0.005526713,0.022775663,0.9572729
1893,1893,2801264,Gur Mittelman,ISR,M,IM,2383,1973.0,True,white,0.003907549,0.013807117,0.0121895615,0.97009575
1894,1894,3507610,Rolando Alarcon Casellas,CUB,M,IM,2383,1986.0,True,hispanic,0.027700458,0.0031435604,0.90453464,0.06462131
1895,1895,1100343,Jacek Woda,POL,M,FM,2383,1965.0,True,white,0.018567089,0.026218394,0.07871601,0.8764985
1896,1896,11604263,Ilja Semjonovs,LAT,M,FM,2383,2002.0,True,white,0.0023671507,0.028659413,0.024220634,0.9447529
1897,1897,4116704,Ekaterina Kovalevskaya,RUS,F,IM,2383,1974.0,True,white,0.123686776,0.006365825,0.14695232,0.72299504
1898,1898,14106736,Viktor Skliarov,UKR,M,IM,2383,1993.0,True,white,0.008871671,0.003615877,0.02346607,0.96404636
1899,1899,119261,Nino Di Giannantonio,ARG,M,FM,2383,1997.0,True,white,0.018469699,0.006441084,0.0108356625,0.9642536
1900,1900,723070,Zsolt Horvath,HUN,M,FM,2383,1986.0,True,white,0.01000968,0.07816991,0.013145473,0.89867496
1901,1901,13602888,Sopiko Guramishvili,NED,F,IM,2383,1991.0,True,api,0.63764715,0.009376963,0.019967735,0.3330081
1902,1902,700150,Jozsef Palkovi,HUN,M,IM,2383,1967.0,True,white,0.0036008433,0.0042438926,0.010592115,0.9815632
1903,1903,14105411,Alexander Belezky,GER,M,IM,2383,1983.0,True,white,0.0013112425,0.00067774457,0.002431013,0.99558
1904,1904,13900544,Alexey Khruschiov,MDA,M,GM,2383,1982.0,True,white,0.027643263,0.006161869,0.017747968,0.9484469
1905,1905,602469,Philippe Brochet,FRA,M,IM,2383,1975.0,True,white,0.0026211755,0.009808158,0.021403229,0.96616745
1906,1906,901687,Rados Bakic,SRB,M,IM,2383,1966.0,True,white,0.032085843,0.03151953,0.018388126,0.91800654
1907,1907,14003937,Azat Nurmamedov,TKM,M,FM,2382,2003.0,True,white,0.08894504,0.021298107,0.15661706,0.7331398
1908,1908,1232622,Alexandru-Bogdan Banzea,ROU,M,IM,2382,2000.0,True,white,0.023122502,0.07373184,0.06649317,0.8366525
1909,1909,13411861,Asif Yagubi,AZE,M,IM,2382,1984.0,True,white,0.35098547,0.01369882,0.11599478,0.51932096
1910,1910,700754,Emil Anka,HUN,M,GM,2382,1969.0,True,white,0.011419407,0.0022533385,0.015824798,0.9705025
1911,1911,900788,Miroljub Lazic,SRB,M,GM,2382,1966.0,True,white,0.0032503107,0.11195124,0.025765296,0.8590331
1912,1912,3900487,Juan Armando Rohl Montes,VEN,M,IM,2382,1973.0,True,hispanic,0.028619342,0.0010689342,0.901042,0.06926975
1913,1913,400238,H James Plaskett,ENG,M,GM,2382,1960.0,True,white,0.00826053,0.113552056,0.02273434,0.8554531
1914,1914,2026562,Michael Lee,USA,M,IM,2382,1993.0,True,white,0.024324339,0.10505342,0.013973429,0.85664886
1915,1915,1009451,Barry Brink,NED,M,IM,2382,1975.0,True,white,0.0014058304,0.021660391,0.012561234,0.9643725
1916,1916,1002880,Frank Kroeze,NED,M,IM,2382,1973.0,True,white,0.003195457,0.016795933,0.03530672,0.9447019
1917,1917,8100500,Sami Khader,JOR,M,IM,2382,1972.0,True,api,0.7818439,0.00609651,0.008791689,0.2032679
1918,1918,12802069,Vytautas Vaznonis,LTU,M,IM,2382,1986.0,True,white,0.44442767,0.0071211485,0.024149643,0.5243015
1919,1919,13403508,Gulnar Mammadova,AZE,F,IM,2382,1991.0,True,white,0.0074919313,0.009182467,0.02145168,0.9618739
1920,1920,614823,Guillaume Vallin,FRA,M,IM,2382,1981.0,True,white,0.024204755,0.054575205,0.29322708,0.6279929
1921,1921,4166299,Karina Ambartsumova,RUS,F,IM,2382,1989.0,True,white,0.011433001,0.008049907,0.01220011,0.9683169
1922,1922,602680,Didier Collas,FRA,M,IM,2382,1972.0,True,white,0.011747485,0.019395027,0.041958023,0.9268995
1923,1923,6405525,Carlos Paul Abreu Jean,DOM,M,FM,2382,1990.0,True,white,0.08694112,0.16890535,0.015502916,0.7286506
1924,1924,4900782,Davaademberel Nomin-Erdene,MGL,F,IM,2382,2000.0,True,white,0.00576143,0.22354582,0.02198562,0.7487072
1925,1925,809152,Pierluigi Piscopo,ITA,M,IM,2381,1983.0,True,white,0.024447147,0.05525835,0.061427478,0.85886705
