UID,URL,Name,Score,image,gender
10016414,https://data.fei.org/Person/Performance.aspx?p=FB6CFF5663815F7ECFD3B340483763A4,Eduardo Alvarez Aznar,1913,True,Male
10002174,https://data.fei.org/Person/Performance.aspx?p=32FDFE0CECB9C55F8BCE081D11717E36,Mario Deslauriers,1910,True,Male
10021911,https://data.fei.org/Person/Performance.aspx?p=F009379FF8D87BBF3A8B0AC2ADB2A7CF,Rodrigo Lambre,1910,True,Male
10002670,https://data.fei.org/Person/Performance.aspx?p=402D16B97D19D414AC5B663E2D8ED3E4,Roger Yves Bost,1905,True,Male
10120193,https://data.fei.org/Person/Performance.aspx?p=760535D57219E73AD09E9044D1EA8813,Brian Moggre,1900,True,Male
10002377,https://data.fei.org/Person/Performance.aspx?p=C8F127E85029CC2634884A17123AD694,Nicolas Delmotte,1898,True,Male
10026531,https://data.fei.org/Person/Performance.aspx?p=FE605A70498FBDEAFADB8EDB18976E4E,Patricio Pasquel,1890,True,Male
10033751,https://data.fei.org/Person/Performance.aspx?p=92172D9BA56E9C7078FDFD5024EBE5EF,Rowan Willis,1880,True,Male
10000491,https://data.fei.org/Person/Performance.aspx?p=3828176B5EAA42B9B5C484098E6279B5,Pius Schwizer,1875,True,Male
10015489,https://data.fei.org/Person/Performance.aspx?p=21F482776C759F9ABAB28E9927648A0F,Laura Renwick,1860,True,Female
10002647,https://data.fei.org/Person/Performance.aspx?p=22FF7A30D2E70294D2511BF4B04C73A8,Robert Whitaker,1840,True,Male
10047111,https://data.fei.org/Person/Performance.aspx?p=AEB6221595C6F9EDC69E3B42E368EA20,Abdel Saïd,1833,True,Male
10010956,https://data.fei.org/Person/Performance.aspx?p=FC81324DCA3DC6AC6C2352BD755122DF,Bart Bles,1820,True,Male
10006836,https://data.fei.org/Person/Performance.aspx?p=6B6E3D82090E979A8A6719A51D87F409,Mark Mcauley,1793,True,Male
10067126,https://data.fei.org/Person/Performance.aspx?p=D24542BB5DEF4704DF9CAD2D2D058C65,Edward Levy,1793,True,Male
10036018,https://data.fei.org/Person/Performance.aspx?p=BB651846FE7AA041A4F5EF0A275BB481,Nicola Philippaerts,1793,True,Male
10016406,https://data.fei.org/Person/Performance.aspx?p=E336E777497865245FD11CC594D7DC7D,Emilio Bicocchi,1790,True,Male
10007934,https://data.fei.org/Person/Performance.aspx?p=40C1DCE2CEA47E8E49A6886BB6EDD370,Eduardo Pereira De Menezes,1783,True,Male
10006547,https://data.fei.org/Person/Performance.aspx?p=35E5B3C4C6DA40360236B4B41B517D69,Mathieu Billot,1775,True,Male
10062733,https://data.fei.org/Person/Performance.aspx?p=2F09EDDC21B30AEC3DA45DDC66E71563,Alexis Deroubaix,1763,True,Male
10007572,https://data.fei.org/Person/Performance.aspx?p=8F1720463165445AAF7314D9B52A82E1,Guy Williams,1755,True,Male
10011423,https://data.fei.org/Person/Performance.aspx?p=CD5D75381364FFE4BD129ADC78A870D9,Beat Mändli,1755,True,Male
10036198,https://data.fei.org/Person/Performance.aspx?p=83A4FB6556750F40826783685851587C,Pieter Clemens,1750,True,Male
10001508,https://data.fei.org/Person/Performance.aspx?p=7815B66A61AF03DEA4494A6E393898C4,Gudrun Patteet,1735,True,Female
10002381,https://data.fei.org/Person/Performance.aspx?p=38700CE6263D525594771862A95DBD2B,Nicolas Pizarro,1725,True,Male
10017143,https://data.fei.org/Person/Performance.aspx?p=FCA14DF1A4C34B1272E4875DF3EA4664,Nayel Nassar,1725,True,Male
10034851,https://data.fei.org/Person/Performance.aspx?p=726C3F5943AE0EE481959C2B1923D378,Alberto Zorzi,1720,True,Male
10039572,https://data.fei.org/Person/Performance.aspx?p=4D2607AA8329E3D04763AA67386D6C44,Kristen Vanderveen,1713,True,Female
10002434,https://data.fei.org/Person/Performance.aspx?p=76FBACD7159714FE10E44257EF58FEBD,Olivier Robert,1703,True,Male
10030760,https://data.fei.org/Person/Performance.aspx?p=35FD2ADC8BB75EFC8DE941ED957EF840,Karl Cook,1680,True,Male
10087876,https://data.fei.org/Person/Performance.aspx?p=35A29CE3B82C5A535BC108C2CCFCE442,Christian Kukuk,1660,True,Male
10021399,https://data.fei.org/Person/Performance.aspx?p=56FD7C9C1C54E18D2139FEB47D93E69C,Frank Schuttert,1653,True,Male
10061969,https://data.fei.org/Person/Performance.aspx?p=B12E8750CE98B71C8FEE2B11D307D59E,Bryan Balsiger,1653,True,Male
10001018,https://data.fei.org/Person/Performance.aspx?p=C76ED59AAC429B831E83A19E2163F61,Conor Swail,1653,True,Male
10001858,https://data.fei.org/Person/Performance.aspx?p=50E8075150147B6972B573448C75BE9C,Jur Vrieling,1635,True,Male
10007914,https://data.fei.org/Person/Performance.aspx?p=741A5F7CC2A6BC0B5B2529FB16380FED,Philipp Weishaupt,1630,True,Male
10026353,https://data.fei.org/Person/Performance.aspx?p=D2B41A941E044AAB38FBDDB8387C3C8E,Jordan Coyle,1630,True,Male
10084314,https://data.fei.org/Person/Performance.aspx?p=7EC0CFE756AB32ED99360685D1AF5DA4,Adrienne Sternlicht,1629,True,Female
10009494,https://data.fei.org/Person/Performance.aspx?p=D16F0DDC45CCA44AABE3BD73ACB8BF11,Niklaus Rutschi,1613,True,Male
10006570,https://data.fei.org/Person/Performance.aspx?p=C11B01C96F1756F77F08A6CF1F953E9A,Olivier Perreau,1610,True,Male
10028625,https://data.fei.org/Person/Performance.aspx?p=8C2BC204F5A3B05A25F94ED098C3FC55,Ahmad Saber Hamcho,1609,True,Male
10001552,https://data.fei.org/Person/Performance.aspx?p=74CA926706AD90511F265D451F6D61CD,Hans-Dieter Dreher,1605,True,Male
10029022,https://data.fei.org/Person/Performance.aspx?p=FBBB3F4F6BD6443C46074584BBD4CF61,Tiffany Foster,1603,True,Female
10012099,https://data.fei.org/Person/Performance.aspx?p=BBDAB7B4A02E8503977DA71ABD1CE5C2,Wilm Vermeir,1595,True,Male
