,Unnamed: 0,Foundername,ProfileURL,Inflation adjusted Amount,UID,image,gender,race,api,black,hispanic,white
3306,3526, Samer Hijazi,https://www.crunchbase.com/person/samer-hijazi,14061009.324773913,2011793628993271313,True,Male,white,0.017214727,0.044379257,0.035754282,0.9026517
3307,3527, Vijay Chander,https://www.crunchbase.com/person/vijay-chander-c80f,14058209.671941068,5204047302791501647,True,Male,white,0.22073346,0.07327479,0.23311754,0.47287416
3308,3528, Praveen Patnala,https://www.crunchbase.com/person/praveen-patnala,14058209.671941068,2750884314441434314,True,Male,white,0.0031982688,0.003844014,0.01178387,0.9811739
3309,3529, Vishal Jain,https://www.crunchbase.com/person/vishal-jain-ed0a,14058209.671941068,3995075617466333828,True,Male,white,0.21294543,0.04592803,0.020521995,0.72060454
3310,3530, Varun Khona,https://www.crunchbase.com/person/varun-khona,14046400.656579604,1463140926083309658,True,Male,api,0.68014956,0.07508861,0.06714632,0.17761548
3311,3531, Vikram Jit Singh,https://www.crunchbase.com/person/vikram-jit-singh,14046400.656579604,1933567997794584253,True,Male,api,0.91308254,0.009230416,0.009227392,0.068459645
3312,3532, Suren Sultania,https://www.crunchbase.com/person/suren-sultania,14046400.656579604,5025427205323988012,True,Male,white,0.08681664,0.016779294,0.08688015,0.809524
3313,3533, Michael Fleischman,https://www.crunchbase.com/person/michael-fleischman,14035469.562438125,5875215791867954037,True,Male,white,0.0049465355,0.0047616847,0.014009191,0.97628266
3314,3534, Vaibhav Kamra,https://www.crunchbase.com/person/vaibhav-kamra,14035469.562438125,2638829458811517724,True,Male,white,0.3468326,0.0064835115,0.0075594266,0.6391245
3315,3535, Jeevan Kalanithi,https://www.crunchbase.com/person/jeevan-kalanithi,14035469.562438125,8996907849847354068,True,Male,api,0.88938123,0.006345237,0.003516172,0.10075741
3316,3536, Niraj Tolia,https://www.crunchbase.com/person/niraj-tolia,14035469.562438125,7946297897501230369,True,Male,white,0.17381072,0.042822883,0.24533474,0.53803164
3317,3537, Philip DeCamp,https://www.crunchbase.com/person/philip-decamp,14035469.562438125,5114625219368962677,True,Male,white,0.0074459687,0.012004595,0.016382108,0.96416736
3318,3538, Liyia Wu,https://www.crunchbase.com/person/liyia-wu,14034758.4099528,6637668482708724872,True,Female,api,0.9620099,0.0028038635,0.0047616013,0.030424666
3319,3539, Erik Toomre,https://www.crunchbase.com/person/erik-toomre,14008754.69505824,5108578046119108425,True,Male,white,0.0053925896,0.013367933,0.015596031,0.9656434
3320,3540, James DeMuth,https://www.crunchbase.com/person/james-demuth,14008754.69505824,3957920339559212569,True,Male,white,0.0037782406,0.014953317,0.013368978,0.9678995
