,Foundername,ProfileURL,Inflation adjusted Amount,UID,image,gender
895, Brent Weiss,https://www.crunchbase.com/person/brent-weiss,33623425.85733584,2532176955158234585,True,Male
897, Mark Kozubal,https://www.crunchbase.com/person/mark-kozubal,33578599.23410451,2660206955493770584,True,Male
898, Matthew Strongin,https://www.crunchbase.com/person/matthew-strongin,33578599.23410451,3538298644192585233,True,Male
899, Thomas Jonas,https://www.crunchbase.com/person/thomas-jonas,33578599.23410451,5959233218302617168,True,Male
900, Michael Blaber,https://www.crunchbase.com/person/michael-blaber,33577205.45311526,6313323330624867575,True,Male
901, David Eveleth,https://www.crunchbase.com/person/david-eveleth,33577205.45311526,3223402798701366250,True,Male
902, Ralph Bradshaw,https://www.crunchbase.com/person/ralph-bradshaw,33577205.45311526,7087339980404034607,True,Male
904, Michael Dudley,https://www.crunchbase.com/person/michael-dudley,33564125.98612018,1502860533033361049,True,Male
905, John Mulligan,https://www.crunchbase.com/person/john-mulligan,33444546.147978645,281794724784246055,True,Male
906, Michael E. Murphy,https://www.crunchbase.com/person/michael-e-murphy,33317101.06287583,1746155793903352534,True,Male
907, Spencer Hewett,https://www.crunchbase.com/person/spencer-hewett,33317101.06287583,2665139776931260099,True,Male
908, Adam Blair,https://www.crunchbase.com/person/adam-blair,33317101.06287583,6322804688634794503,True,Male
909, Ramgopal Rao,https://www.crunchbase.com/person/ramgopal-rao,33297518.31105845,4363103995977393432,True,Male
910, Michael Abramoff,https://www.crunchbase.com/person/michael-abramoff,33215844.726876598,3072499251073211100,True,Male
911, Adam Berkowitz,https://www.crunchbase.com/person/adam-j-berkowitz,33173114.69945117,4466776780445468564,True,Male
912, Jonathan Webb,https://www.crunchbase.com/person/jonathan-webb-8d34,33173114.69945117,6562606871614039167,True,Male
913, Bradley Tramunti,https://www.crunchbase.com/person/bradley-tramunti,33173114.69945117,7088106755358299529,True,Male
914, Andrew Vagenas,https://www.crunchbase.com/person/andrew-vagenas,33173114.69945117,4887396267275854054,True,Male
915, Dwayne Lafleur,https://www.crunchbase.com/person/dwayne-lafleur,33083606.82574701,8298030590835169613,True,Male
916, Mike G. Hart,https://www.crunchbase.com/person/mike-g-hart,33081930.53774589,1162654612125417818,True,Male
