ID,Fieldl,Field2
1,Male,10017157
2,Male,10002446
3,Female,10006490
4,Male,10003065
5,Male,10000593
6,Male,10016433
7,Male,10041033
8,Male,10045127
9,Female,10019434
10,Female,10060954
11,Female,10039932
12,Male,10027459
13,Male,10033608
14,Male,10036357
15,Female,10017548
16,Male,10012427
17,Female,10117841
18,Male,10076733
19,Female,10086354
20,Male,10034042
,,
ID,Fieldl,Field2
21,Male,10056409
22,Female,10142888
23,Female,10148571
24,Female,10078115
25,Female,10095970
26,Female,10020645
27,Male,10018989
28,Male,10002233
29,Male,10007460
30,Female,10016967
31,Male,10060049
32,Male,10067976
33,Female,10072255
34,Male,10070456
35,Male,10071317
36,Male,10074817
37,Female,10119027
38,Male,10136012
39,Female,10026318
40,Female,10017249
,,
ID,Fieldl,Field2
41,Male,10013379
42,Male,10002196
43,Male,10005751
44,Male,10021897
45,Male,10032966
46,Female,10043132
47,Male,10011634
48,Male,10009677
49,Male,10022170
50,Male,10089375
51,Female,10089313
52,Male,10087464
53,Male,10073449
54,Female,10033487
55,Female,10029176
56,Male,10015478
57,Female,10002161
58,Male,10195543
59,Male,10074850
60,Male,10002001
,,
ID,Fieldl,Field2
61,Male,10001383
62,Male,10018941
63,Female,10010856
64,Female,10026626
65,Female,10024266
66,Male,10021760
67,Female,10013482
68,Male,10017401
69,Male,10001270
70,Male,10000700
71,Male,10006499
72,Female,10153132
73,Male,10085148
74,Male,10001046
75,Male,10001120
76,Male,10000549
77,Male,10000394
78,Male,10012228
79,Male,10040549
80,Male,10068064
,,
ID,Fieldl,Field2
81,Male,10083481
82,Male,10067018
83,Female,10031077
84,Male,10032400
85,Male,10012263
86,Male,10011445
87,Male,10009252
88,Female,10078298
89,Female,10140980
90,Female,10138827
91,Male,10000859
92,Female,10008400
93,Female,10035279
94,Male,10096812
95,Female,10029853
96,Female,10065074
97,Male,10047232
98,Male,10001340
99,Male,10016186
100,Female,10034338
,,
ID,Fieldl,Field2
101,Female,10040178
102,Male,10101059
103,Female,10120322
104,Female,10117343
105,Female,10075949
106,Female,10086434
107,Male,10093698
108,Female,10139160
109,Male,10040941
110,Male,10043478
111,Male,10020593
112,Male,10012125
113,Male,10011460
114,Female,10009688
115,Male,10001527
116,Male,10001121
117,Male,10021132
118,Male,10025308
119,Female,10042044
120,Male,10062368
,,
ID,Fieldl,Field2
121,Female,10059554
122,Female,10144953
123,Male,10071161
124,Male,10081809
125,Male,10002610
126,Male,10000486
127,Male,10011422
128,Male,10008729
129,Female,10006742
130,Female,10017100
131,Male,10016347
132,Male,10000411
133,Male,10002119
134,Male,10045221
135,Female,10024187
136,Female,10024105
137,Male,10082197
138,Female,10114775
139,Female,10141442
140,Male,10101195
,,
ID,Fieldl,Field2
141,Male,10001964
142,Female,10012259
143,Female,10011451
144,Female,10009141
145,Male,10036973
146,Male,10027831
147,Male,10040121
148,Male,10086249
149,Male,10041239
150,Male,10048585
151,Male,10025400
152,Male,10031959
153,Female,10012015
154,Male,10016420
155,Female,10002020
156,Female,10085583
157,Female,10080108
158,Female,10095432
159,Male,10000585
160,Male,10001261
,,
ID,Fieldl,Field2
161,Male,10015439
162,Male,10032076
163,Male,10038450
164,Female,10066997
165,Female,10085672
166,Male,10070422
167,Female,10112754
168,Female,10109611
169,Female,10154323
170,Male,10023475
171,Male,10034045
172,Female,10060196
173,Male,10002815
174,Male,10001630
175,Male,10000779
176,Male,10075634
177,Female,10075094
178,Female,10087560
179,Male,10087610
180,Male,10107059
,,
ID,Field1,Field2
181,Male,10001914
182,Female,10006341
183,Male,10002578
184,Female,10011729
185,Male,10018798
186,Female,10007923
187,Male,10055118
188,Male,10028871
189,Male,10026012
190,Male,10001401
191,Male,10001093
192,Male,10006428
193,Male,10002997
194,Female,10016460
195,Male,10027815
196,Female,10036199
197,Female,10055522
198,Male,10058975
199,Male,10106156
200,Female,10098826
,,
,,
201,Female ,10097191
202,Female,10071266
