,UID,URL,Name,Score,image
1147,10003061,https://data.fei.org/Person/Performance.aspx?p=1A4AEB4FADBF299870C2A4EE5E79AAD3,Vladimir Tretera,95,TRUE
1148,10007929,https://data.fei.org/Person/Performance.aspx?p=1E81DE86170245C2A7EFC5A1D9209D9F,Ole Kristoffer Eriksen Meland,95,TRUE
1149,10008563,https://data.fei.org/Person/Performance.aspx?p=E7F32750882C0AF31482EBD684352685,Michael Eichler,95,TRUE
1150,10007924,https://data.fei.org/Person/Performance.aspx?p=48F1F7AA4072FCB8E03929FAC5720DAE,Sofia Kroon,95,TRUE
1151,10017158,https://data.fei.org/Person/Performance.aspx?p=65B7E5E213F4C51D9F0D86BC0FE8EDD2,Mario Prieto,95,TRUE
1152,10012005,https://data.fei.org/Person/Performance.aspx?p=E6F996D3C201E8FF5494BF187719C6DE,Chris Sorensen,95,TRUE
1153,10013480,https://data.fei.org/Person/Performance.aspx?p=22F9FB4177753898808C5761D357C4CC,Luca Inselvini,95,TRUE
1154,10015742,https://data.fei.org/Person/Performance.aspx?p=2859F92788FD73911F39447E4B9234C5,Hanne Mertens,95,TRUE
1155,10021453,https://data.fei.org/Person/Performance.aspx?p=65E8429340798DE0F0B79B97B74BA4BD,Andrea Messersì,95,TRUE
1156,10022310,https://data.fei.org/Person/Performance.aspx?p=D8E2925F98E9B332317FBEC6F123C39D,Andre Schröder,95,TRUE
1157,10039108,https://data.fei.org/Person/Performance.aspx?p=A94CE6FA0C7F07EFB5B33602E6A56F9,Tamás Mráz,95,TRUE
1158,10044078,https://data.fei.org/Person/Performance.aspx?p=C9BA73472198D3F3F76FDF2B6C7AD438,Rashid Towaim Ali Al Marri,95,TRUE
1159,10067825,https://data.fei.org/Person/Performance.aspx?p=689C999E82C92132AF2D445F7627CB73,Rudolf Dolezal,95,TRUE
1160,10066939,https://data.fei.org/Person/Performance.aspx?p=4AA8BEECFC0DA4EE6E6E1772DD9C03D4,Laetitia Du Couëdic,95,TRUE
1161,10090997,https://data.fei.org/Person/Performance.aspx?p=5C9CC48661B48AEFC0D67C9B734C72C2,Juan Pablo Betancourt,93,TRUE
1162,10058694,https://data.fei.org/Person/Performance.aspx?p=F1278C151894AD50E9476914C8220751,Eleonora Salvatori,92,TRUE
1163,10146155,https://data.fei.org/Person/Performance.aspx?p=713A7D6FE670277959645CF86C9B95A4,Hannah Loly,90,TRUE
1164,10154351,https://data.fei.org/Person/Performance.aspx?p=ED54A52A490044ED92BF6FB3AE195227,Grzegorz Nowak,90,TRUE
1165,10080737,https://data.fei.org/Person/Performance.aspx?p=D08AFD8D44F4B685C30FAA61C90F6E59,Antonia Pettersson Häggström,90,TRUE
1166,10098027,https://data.fei.org/Person/Performance.aspx?p=95214406B717458C9C7AC97B3B52ADDE,Yunjing Ella Wang,90,TRUE
1167,10118293,https://data.fei.org/Person/Performance.aspx?p=33659A67FD704B21BBD4CF88EF91B82,Beau Schuttelaar,90,TRUE
1168,10059697,https://data.fei.org/Person/Performance.aspx?p=DE85B40F333C5ED662684AFC883F803,Joel Valles Rosell,90,TRUE
1169,10059246,https://data.fei.org/Person/Performance.aspx?p=A93BE6CF7196B2A51E7EDE81E1FDC884,Bjorn Vandenbossche,90,TRUE
1170,10068352,https://data.fei.org/Person/Performance.aspx?p=B8F7FE8B1AB94CD44CD7B2AADE2DFBC2,Evgeny Shkarpet,90,TRUE
1171,10036385,https://data.fei.org/Person/Performance.aspx?p=957C12D36FAAB0F563FD33F3A8051434,Vasco Flores,90,TRUE
1172,10021306,https://data.fei.org/Person/Performance.aspx?p=5AB69A74DDBDDFD2B6DB1471360FC1DD,Carolina Oliveira Gonçalves,90,TRUE
1173,10010493,https://data.fei.org/Person/Performance.aspx?p=88D39262326AFE418FDAE3D7900DD467,Tim Gredley,90,TRUE
1174,10004373,https://data.fei.org/Person/Performance.aspx?p=650E0D97AA6855666A3F338F857114D9,Ionel Bucur,90,TRUE
1175,10000504,https://data.fei.org/Person/Performance.aspx?p=38F856EF724E3890A3522B0F80EB0342,Carlos Milthaler,90,TRUE
1176,10001514,https://data.fei.org/Person/Performance.aspx?p=A1D87423F71916C0F1ED12E953A647FF,Guido Grimaldi,90,TRUE
1177,10096270,https://data.fei.org/Person/Performance.aspx?p=407A346FEA8EC793DAFE2312349D86C,Erik Preben Strand,89,TRUE
1178,10000533,https://data.fei.org/Person/Performance.aspx?p=D928E66BEFBF77523CE5F503AC9BA13C,Marie Antoinette S. Leviste,88,TRUE
1179,10000702,https://data.fei.org/Person/Performance.aspx?p=9CEC3F149F804C34DE59E677D35B547B,Andreas Knippling,85,TRUE
1180,10002926,https://data.fei.org/Person/Performance.aspx?p=3271AD93871AAAE2919344DCA21F8C86,Thomas Kleis,85,TRUE
1181,10002003,https://data.fei.org/Person/Performance.aspx?p=4BB2B411FE5FCC22F663F3359E30AD38,Leonardo Medal Garcia,85,TRUE
1182,10016410,https://data.fei.org/Person/Performance.aspx?p=187E974F7E57A02CBE056755B8217F60,Lorenzo Toscano,85,TRUE
1183,10024426,https://data.fei.org/Person/Performance.aspx?p=29C44F28F102D9BCEADDA0D4649C9BDD,Jonas Vervoort,85,TRUE
1184,10066489,https://data.fei.org/Person/Performance.aspx?p=129D106C6522667E604AB033D780A57,Mathias Nørheden Johansen,85,TRUE
1185,10112218,https://data.fei.org/Person/Performance.aspx?p=E28689344EEDE4063A3A8541D3A81DC,Alexander Godsk,85,TRUE
1186,10116374,https://data.fei.org/Person/Performance.aspx?p=47AE83EABB01A880F5B8C4547A18CCE0,Anthony Philippaerts,85,TRUE
1187,10146685,https://data.fei.org/Person/Performance.aspx?p=820CE5070A902FADD72A1A904A43D466,Osama Al Zabibi,85,TRUE
1188,10001928,https://data.fei.org/Person/Performance.aspx?p=D28A983EB773529A1CAC15128702FB2D,Khaled Abdulaziz Al Eid,81,TRUE
1189,10001052,https://data.fei.org/Person/Performance.aspx?p=FBB3EC0117D9D0E5886FA0D8116E4DB4,Daniel Svensson,80,TRUE
1190,10001306,https://data.fei.org/Person/Performance.aspx?p=86E097D6FF20A8EF5D0F1275DFDA3E9C,Filipe Malta Da Costa,80,TRUE
1191,10000922,https://data.fei.org/Person/Performance.aspx?p=97D748D812881DD55845F862BFDAD37B,Caroline Nicolas,80,TRUE
1192,10000430,https://data.fei.org/Person/Performance.aspx?p=215BBFEBBE4F8A9DAA4EB6CFE34AD2D8,Mac Cone,80,TRUE
1193,10002662,https://data.fei.org/Person/Performance.aspx?p=26687B714B54FFCB18E9F200FD39B567,Rodrigo Diaz,80,TRUE
1194,10002083,https://data.fei.org/Person/Performance.aspx?p=9E2058B28FE5B8EE6CC8B84B349A2981,Lukasz Jonczyk,80,TRUE
1195,10006367,https://data.fei.org/Person/Performance.aspx?p=4C076D2789A0AFD11FEFB4AC01177EE8,Andres Lausen,80,TRUE
1196,10006581,https://data.fei.org/Person/Performance.aspx?p=69424B743A508D0BA1952F6A04FF65A8,Philipp Züger,80,TRUE
1197,10009209,https://data.fei.org/Person/Performance.aspx?p=5096EFA9D89A2749336C7906C5DB4EE9,Lisa Coupe,80,TRUE
1198,10007902,https://data.fei.org/Person/Performance.aspx?p=4FDD3FEC2B68FB7C2A4B007E9E88B1D5,Emma Emanuelsson,80,TRUE
1199,10016924,https://data.fei.org/Person/Performance.aspx?p=B61088DDD2BC80F13FA17059281AB600,Cassandra Orschel,80,TRUE
1200,10065898,https://data.fei.org/Person/Performance.aspx?p=45A1F1738035D340F09839E1F8EF1A33,Adrianna Ostrowska,80,TRUE
1201,10061215,https://data.fei.org/Person/Performance.aspx?p=9AED1D362034A0D0E013464FD4D57C43,Axel Narolles,80,TRUE
1202,10054312,https://data.fei.org/Person/Performance.aspx?p=185D12AE06CCF9BAA9EB3DEC86598615,Joseph Davison,80,TRUE
1203,10024138,https://data.fei.org/Person/Performance.aspx?p=75DE1BB478839883E123D45A6260508,Nicole Bellissimo,80,TRUE
1204,10081921,https://data.fei.org/Person/Performance.aspx?p=ED00420DF7E2ADEE2DFE82E5C5110BFE,Charlotte Philippe,80,TRUE
