ID,Fieldl,Field2
1,Male,10071480
2,Female,10000404
3,Male,10000527
4,Male,10024194
5,Female,10021594
6,Male,10040940
7,Male,10000814
8,Male,10001204
9,Male,10006277
10,Male,10001973
11,Female,10016056
12,Male,10006883
13,Male,10008818
14,Male,10009791
15,Female,10087930
16,Female,10090034
17,Male,10016691
18,Male,10018951
19,Male,10015592
20,Male,10011455
,,
ID,Fieldl,Field2
21,Male,10008722
22,Female,10006875
23,Male,10002392
24,Male,10005745
25,Male,10001834
26,Male,10020087
27,Female,10027370
28,Male,10030161
29,Female,10109881
30,Female,10089263
31,Female,10081150
32,Male,10028204
33,Female,10024502
34,Female,10022493
35,Male,10031693
36,Male,10063872
37,Male,10006511
38,Female,10003021
39,Female,10006628
40,Female,10010833
,,
ID,Fieldl,Field2
41,Female,10009003
42,Male,10012000
43,Male,10016586
44,Male,10074868
45,Male,10120482
46,Female,10114368
47,Male,10097772
48,Male,10006922
49,Male,10008046
50,Male,10011193
51,Male,10011405
52,Male,10017137
53,Male,10002543
54,Male,10000474
55,Female,10032599
56,Female,10111966
57,Male,10085106
58,Female,10091219
59,Female,10150197
60,Female,10118450
,,
ID,Fieldl,Field2
61,Female,10029467
62,Female,10068127
63,Male,10045910
64,Female,10047238
65,Male,10047288
66,Male,10000392
67,Male,10019199
68,Male,10010661
69,Female,10007626
70,Male,10093472
71,Male,10097234
72,Female,10044834
73,Female,10064333
74,Female,10009757
75,Female,10017003
76,Male,10000506
77,Male,10001936
78,Male,10001593
79,Male,10001549
80,Male,10006931
,,
ID,Fieldl,Field2
81,Male,10006941
82,Male,10021292
83,Male,10037537
84,Male,10040156
85,Male,10100285
86,Female,10119022
87,Male,10133947
88,Female,10073372
89,Female,10008460
90,Male,10006956
91,Male,10016449
92,Female,10013653
93,Male,10001627
94,Male,10002773
95,Male,10005827
96,Female,10056283
97,Male,10032372
98,Female,10021196
99,Male,10071659
100,Male,10080702
,,
ID,Fie1(11,Field2
101,Male,10078281
102,Female,10086346
103,Female,10085584
104,Male,10127748
105,Male,10104210
106,Male,10001206
107,Male,10005772
108,Female,10002099
109,Male,10002238
110,Female,10012174
111,Male,10007602
112,Male,10039339
113,Female,10046380
114,Male,10033728
115,Female,10036886
116,Female,10090273
117,Female,10040187
118,Female,10060519
119,Female,10060736
120,Male,10030995
,,
ID,Fieldl,Field2
121,Female,10000660
122,Female,10000738
123,Male,10008946
124,Male,10011755
125,Male,10017145
126,Female,10019397
127,Male,10008452
128,Male,10013804
129,Male,10035966
130,Female,10037441
131,Male,10031940
132,Male,10021463
133,Male,10040347
134,Female,10008468
135,Female,10000635
136,Male,10001267
137,Male,10001393
138,Female,10005727
139,Male,10002672
140,Female,10110536
,,
ID,Fieldl,Field2
141,Male,10091054
142,Male,10087972
143,Male,10075037
144,Male,10114588
145,Female,10104224
146,Female,10087454
147,Male,10185473
148,Male,10002245
149,Male,10002246
150,Male,10001317
151,Male,10001824
152,Male,10001696
153,Male,10001618
154,Male,10007203
155,Male,10058374
156,Male,10055523
157,Female,10054409
158,Male,10040868
159,Male,10039085
160,Male,10044014
